,date,content
0,2026-05-17,"SpaceX is getting ready to launch the largest and most powerful rocket in history, aiming to revolutionize the heavy-lift launch market."
1,2026-05-17,Should we really be adding gamification features to getting high?
2,2026-05-17,The reddish-brown mud that smothered Bok Kongphan's Hawaii farm has hardened in the tropical sun.  Officials are pleading with farmers not to give up...
3,2026-05-17,
4,2026-05-17,"Get the latest news from Android Central, your trusted companion in the world of Android
You are now subscribed
Your newsletter sign-up was successful
This 77-inch Samsung Smart Tizen TV normally sells at $3,500.

When you purchase through links on our site, we may earn an affiliate commission. Here’s how it works.

You can find more TV deals than ever before in today's market, but getting over $1,000 off on something truly premium is a little less common. Fortunately, a week ahead of Memorial Day Weekend sales, Best Buy has chopped $1,300 off the price of this pricey Samsung Class S90F OLED TV, bringing it down to $2,200.
While this particular deal is for the 77-inch version of the TV, you can also save on some of the model's smaller sizes, such as the 42-inch, which is $200 off. This also means there are some options across the price and sizing spectrum, in case you'd rather spend less overall and don't need the extra-large display.
Samsung 77-inch Class S90F 4K OLED TV: $3,499.99 $2,199.99 at Best Buy
Best Buy is offering deals on multiple Class S90F Samsung TVs, but the 77-inch currently has the biggest price drop at $1,300 off. The OLED TV also includes the Smart Tizen OS, making it easy to connect to your favorite streaming services, including Netflix, Prime Video, YouTube, and many others.
✅Recommended if: you're in need of a large, highly-powerful smart TV with premium-level picture quality, and you were holding out for a deal so you don't have to spend a few thousand dollars; you want a TV with some of the latest AI enhancement features and extremely fast processing speeds; you want a TV with a bright backlight and vibrant colors, and you want something that also comes with picture upscaling and other useful enhancement features.
❌Skip this deal if: your budget is lower than this and you don't mind getting a smaller discount on a smaller TV; you'd rather go with one of our best Android TVs and you're not particularly concerned about savings; you'd prefer a different brand that's more compatible with your other devices, such as some of Sony's TVs, which tend to work really well with Google TV.
The Samsung Class S90F Series TV sports an OLED 4K display with SamsungVision AI features and the user-friendly Smart Tizen TV platform. It includes smart capabilities and voice commands through Amazon's Alexa, Bixby, and more.
The 77-inch TV also features a bright, vivid OLED display with a 120Hz refresh rate, motion enhancement, upscaling, and four HDMI ports among other connectivity options. Backed by the NQ4 AI Gen3 Processor for picture enhancement and general processing speeds, the Tizen TV offers quick performance and access to a wide range of free and streamed content.
Get the latest news from Android Central, your trusted companion in the world of Android
Zach has been covering Android, Apple, and other tech companies since 2020. His work has appeared in the Chicago Tribune, KRON4 San Francisco, CleanTechnica, iPhoneinCanada, Android Central, and many other publications. When he isn't covering tech, you can find him drinking coffee, spending time outside, or watching classic movies with his cats.
You must confirm your public display name before commenting
Please logout and then login again, you will then be prompted to enter your display name.

Android Central is part of Future US Inc, an international media group and leading digital publisher. Visit our corporate site.

©
Future US, Inc. Full 7th Floor, 130 West 42nd Street,
New York,
NY 10036. 

Please login or signup to comment

Please wait..."
5,2026-05-17,"(Bloomberg) -- China has agreed to purchase at least $17 billion of agricultural products from the US annually through 2028, the White House said in a fact..."
6,2026-05-17,"Affiliate links on Android Authority may earn us a commission. Learn more.
18 hours ago
The Walmart Onn 4K Pro has been one of the most elusive tech gadgets of 2026. The Google TV streaming device has been leaking since March, and for the past month, Walmart has kinda-sorta been rolling it out — with random online listings and store sightings, but no official launch or announcement.
I managed to snag the Onn 4K Pro about a week ago and have been using it as my primary streaming device ever since. I wasn’t expecting much from a $60 Google TV box, but after a week of use, Walmart proved me wrong.
As I’ve previously written about, the Apple TV 4K is my usual streaming box of choice — partly because it’s so fast and reliable. I wasn’t sure how a $60 Walmart box would hold up to a $130 Apple one, but as it turns out, that concern was unwarranted.
The Walmart Onn 4K Pro has been extremely performant after my initial week of testing. Setup was a breeze, all my apps are running smoothly, and the Google TV interface has been just as snappy as I could ask for. How that holds up after weeks or months of use remains to be seen (especially with only 3GB of RAM), but my initial impressions are extremely good.
I also really like the Onn 4K Pro’s hardware. The box itself has a hard-plastic underside with a fabric design on the top that looks quite nice under my TV (and reminds me of the Nest Audio). The port selection is solid (including an Ethernet port), and pressing the top button activates the Find My Remote function, which plays a loud sound from the remote until you locate it. None of this is groundbreaking, but for a $60 streamer, it’s all great to see.
The remote is also a highlight. It’s comfortable to hold, has a load of shortcuts, and there’s backlighting, too — something not even my Apple TV remote has.
I could live without the Netflix and Paramount Plus buttons, but I also really appreciate having dedicated buttons for user profiles and the live TV tab. The remote isn’t as pretty or sleek as the Apple TV’s or even the Google TV Streamer’s, but having so much functionality crammed into a remote not much bigger than those offered by its competitors is pretty great.
What else has been good? The Wi-Fi 6 connectivity has proven extremely reliable thus far, with YouTube, YouTube TV, Hulu, and Disney Plus all streaming flawlessly. The 32GB of onboard storage also lends nice peace of mind for long-term use. I still have 24GB available after installing all my applications, meaning there should be plenty of space for app and software updates for a long time to come.
Considering just how good the 2024 Onn 4K Pro was, I guess I shouldn’t be surprised that this new 2026 model continues its legacy. But as someone who never used the 2024 version, experiencing Walmart’s latest streamer for myself has been a treat.
Does this mean the 2026 Onn 4K Pro is perfect? Of course not. As mentioned above, how the streaming box’s performance holds up after extended use still remains to be seen. Parts of the remote also feel slightly cheap, and the Onn 4K Pro’s Google TV software is still riddled with ads — not any worse than the Google TV Streamer, but no better, either.
However, if Google TV is your preferred streaming platform, the Onn 4K Pro is already making a strong case for itself as the Google TV box to buy in 2026 — even over the Google TV Streamer.
At $60, the new Walmart Onn 4K Pro is almost half the price of Google’s box. And based on my first week with it, it’s every bit as good. There’s more testing to do in the full review, but even this early on, I don’t think it’s unreasonable to say that Walmart has something special here.
 Don’t want to miss the best from Android Authority?
Thank you for being part of our community. Read our Comment Policy before posting."
7,2026-05-17,"During the past decade, Apple has helped popularize the smartwatch market with the Apple Watch. However, this kind of watch didn't start with Apple, as the popular athlete watch brand, Garmin, has been making smartwatches for over two decades. Smartwatches add value to your life, as you can get the best insights on your health, workouts, and still be connected with your phone. You can decide whether or not to take a call or reply to a notification, right from your wrist. However, these are also among the reasons why people are ditching their smartwatches, as they can also keep you even more addicted to your phone, exhaust you from this hyper-exposure to data, and more.
Ditching smartwatches isn't a one-off phenomenon as there are several threads online where people explain why they moved from a smartwatch to a regular watch. I also decided this year that I would be more mindful about my Apple Watch usage. I own an Apple Watch Ultra 2 and I'm the kind of person who tracks workouts, my sleep, and even how much water I drink in a day. This overreliance on my watch also brought frustration whenever I couldn't close my rings, meet a goal, or when something went off schedule. Besides that, there's something terrible about going to a nice party or a date and you just have your Apple Watch buzzing all the time.
Have you heard about ghost vibrations or experienced them? It's the feeling that your phone is buzzing in your pocket even though the phone is on a table. Well, this also happens with smartwatches. Sometimes I'm just lying down without my Apple Watch and I feel a buzz.
When I first started using the Apple Watch in 2019, I remember how I felt it was the perfect tool to keep me away from my phone. After all, I could get glimpses of what was going on without actually picking up my phone. As the years went by, I realized that I was usually picking up my phone as soon as I got a notification on my watch, as it always felt urgent. Worse than that, whenever I needed to focus on an article, a task, or anything that does not include picking up my phone, I only needed one notification buzzing on my wrist to get distracted.
While you could argue that it's more about me than the smartwatch, it's also important to understand that these products have been made to addict you. For example, the ""Close Your Rings"" movement created by Apple was great to give me some help for a healthier lifestyle, but years later, I know exactly how I run, how my workouts impact me, and even if I had a good night of sleep, and not because I read the data, but because, as a person, I can also assess myself.
A more straightforward issue with smartwatches is that they're gadgets, and gadgets get old. Truth be told, you could still be holding up just well with an Apple Watch Series 4 in 2026 — as long as your watch's battery health is fine. However, if you want the crispier display, the biggest battery life, and the latest health sensors, you do need to spend money on a newer generation. While the old model can be repurposed to a family member or a friend, eventually it needs to be discarded, which generates e-waste. Meanwhile, regular watches can be worn for life, if you take good care of them. 
As a tech journalist, I have tested most of the Apple Watch models since the Series 3. Unfortunately, many of them just ended up sitting on a shelf. Others were damaged by accidental drops, worn off due to sweat, or just life happening. For the current two regular watches that I own (big collection, I know), they have been around for three years, and they just look amazing. They're timeless pieces that I can have with me forever.
There's a saying that everything that is too much can be harmful. Guess that sleeping, showering, working out, and just wearing the Apple Watch for most of the day can be classified as ""too much."" Like many other people, I also had to stop using the Apple Watch regularly because I would get the top of my wrist slightly red, irritated by the prolonged moments of wearing this smartwatch.
This Apple Watch rash became particularly worse when Apple introduced sleep tracking, which meant that I would then start sleeping with my Apple Watch for a better understanding of my health data. While just removing the smartwatch for a few hours or even a day is usually enough to make my skin go back to normal, some people do get worse experiences — even from Apple Watch bands.
It's unusual for someone to have these issues with a regular watch, as you would usually put them on to go out for dinner, to work, or any outdoors occasion. However, by the time you'd get home, you'd remove it. With the Apple Watch, and other smartwatches in general, you just keep them on all the time, because you need to be reminded to stand up, about an important meeting, to check your heart rate during a stressful Zoom call, and so on.
Smartwatches still look like gadgets from the future. After all, having a touchscreen display on your wrist that can help you make payments, open doors, track workouts, and listen to music wirelessly is just super cool. Apple, specifically, releases regular updates bringing new watch faces with nice complications to help users find the perfect balance between looking good and having useful data. The company offers artsy, minimalist, feature-heavy, and classic watch faces, in addition to an incredible number of bands with the most different colors and fabrics.
However, as I started seeing the Apple Watch as a fashion accessory, in addition to a tool for health data, I embarked on a journey that most people face with watches in general; Going from not caring about them at all to really noticing the different brands, styles, and how to match them with my outfits.
Now that I'm trying to take a break from my Apple Watch whenever I don't need it, I'm switching between two classic watches. One of them is by the fashionista brand MJW from London. It has unique watches, and one that caught my attention the most is called ""A Perfectly Useless Afternoon."" Whenever I wear it and I look at the time, it just gives me utter joy to see that person in a pool chilling. I'd say life should be more about that than buzzing notifications.
Again, as a tech journalist, I surround myself with technology, and sometimes I don't even realize how one product overlaps the other. Still, I've come to realize that one of the primary reasons to ditch a smartwatch is because a phone already does most of what the watches can do. For example, I can see the time, check my walk distance, get notifications, and most other smart features right from my iPhone.
With the latest iOS updates, Apple even made the iPhone a lot better to help you work out. For example, Apple Fitness+ now works without an Apple Watch, and the other day, for the first time in a lifetime, I went for a run with my iPhone and AirPods Pro 3. While the phone tracked the route with its built-in GPS, the AirPods Pro was responsible for tracking my heart rate and measuring my calorie expenditure. When I finished the run, I was wondering how different it would've been if I had my Apple Watch around. And, to be fair, not much.
While I still think that my Apple Watch is great for emergencies, as I can still pay for stuff, get directions, and call people if my phone dies, I also have realized that I don't need an Apple Watch to remind me to pick up my phone to do some tasks, and this is what so many people have also realized. Smartwatches are cool, but touching grass can be a lot more."
8,2026-05-17,"Premium Android tablets continue to improve, but I'd argue, they're still simply not as good as the likes of the iPad Pro. Xiaomi, however, is addressing this head-on with a tablet and associated accessories that take inspiration from Apple's products in more ways than one.
The Xiaomi Pad 8 Pro has a decently thin build and solid performance. It also supports accessories like the Xiaomi Focus Keyboard — a near copy of the beloved Apple Magic Keyboard for the iPad. At around €650 (~$755) for the entry-level model in Europe, the Xiaomi Pad 8 Pro isn't cheap — and as such, it really has to go head to head with the iPad and other top-tier Android tablets.
Does the Xiaomi Pad 8 Pro perform well for the price, and can it actually serve as a laptop replacement? I've been using it for a while now to find out.
The Xiaomi Pad 8 Pro is reasonably sleek, stylish, and thin. It's actually thinner than the previous-generation Xiaomi Pad 7 Pro, which is impressive given the fact that it has a much larger battery. It's a full aluminum unibody with rounded corners and squared-off sides, which is the design language pretty much everyone is converging on right now — but it's still clean overall.
The dimensions come in at 251 x 173 x 5.8 mm, which gives you an 85.4% screen-to-body ratio. That's competitive with the Galaxy Tab S11 and means there's not much wasted space around the panel. I actually like how much bezel there is, and I probably wouldn't want much more. What's there is enough to grip without accidentally touching the screen.
On the back of the tablet is a somewhat large square camera module. The lens elements stick out enough to create a small but noticeable visual awkwardness on what is otherwise a very minimalist back panel. It's not really a big deal, and it doesn't change how you use the device all that much.
The Xiaomi Pad 8 Pro comes in Pine Green, Blue, and Gray, and based on online images they all look solid. I'm reviewing the Blue model, which I quite like the look of. It's a very subtle blue, which will appeal to many, though some might prefer a bolder color.
The tablet is also available with a matte glass, which Xiaomi claims blocks up to 70% of reflections. I would have liked to try that version out, but I have the glossy-screen model. I've really liked the matte glass approach on modern iPad models, so I'm glad to see more companies adopting it.
The Xiaomi Pad 8 Pro is comfortable enough in the hand, though it is a little heavier than some other tablets. Its 11.2-inch display means that it's not overly large, like some bigger models that I find a bit unwieldy. As a whole, the tablet looks and feels premium and durable.
The Xiaomi Pad 8 Pro comes with an 11.2-inch IPS LCD display with a 3,200 x 2,136 resolution — a 3:2 aspect ratio that's better suited to documents and web browsing than the 16:10 you'll find on many competitors. Pixel density works out to 345ppi, which is quite crisp for a tablet, and higher than some noteworthy alternatives.
Refresh rate goes up to 144Hz, with adaptive switching between 60Hz, 120Hz, and 144Hz depending on what you're doing. 800 nits of peak brightness isn't bad for a device like this, but also isn't class-leading. The device supports Dolby Vision and a 12-bit color-depth.
In daily use, the display is good. Text is crisp, and motion is smooth. But it's still an LCD panel as opposed to OLED. That means that you simply can't get the same deep black levels on offer by OLED-equipped tablets. For this price range, I would have liked to see an OLED panel, and frankly, there isn't much excuse not to include one, especially given the fact that other tablets at this price point often do.
Powering the tablet is a Qualcomm Snapdragon 8 Elite chipset, which is Qualcomm's flagship SoC from 2025. It's no longer the top-tier SoC, which is a title that instead goes to the Snapdragon 8 Elite Gen 5. On this tablet, the Snapdragon 8 Elite is coupled with either 8GB or 12GB of RAM — our review model has 8GB. Storage options range between 128GB, 256GB, and 512GB.
Frankly, the tablet performed more than well enough, and while the Snapdragon 8 Elite isn't Qualcomm's latest silicon, you simply won't notice the difference right now. It's possible down the line, toward the end of the device's lifespan, a Snapdragon 8 Elite Gen 5 tablet would have kept up better with more demanding software, but that's just speculation.
In multitasking, gaming, and productivity, the tablet performed well. That last one is probably most important for a tablet like this. It's a very capable productivity machine.
The other quirk worth knowing about is RAM management. Xiaomi tends to be aggressive about closing background apps, and the Pad 8 Pro is no exception. You'll come back to something you had open and find it reloading. With 12GB of RAM on paper, this shouldn't be happening as often as it does. It's not a dealbreaker, but it's an irritant.
It's also worth noting that the tablet only comes with Wi-Fi connectivity; there's no cellular option for those who want something they can take on the road and remain connected with. All of that to say, while I would have liked to see the Qualcomm Snapdragon 8 Elite Gen 5 processor instead of the last-generation chip, the tablet still performs easily well enough for the vast majority of use cases and should for at least a few years to come.
The 9,200 mAh battery is pretty huge, and it allows the tablet to last for hours upon hours. Of course, your mileage may vary depending on what you're using the tablet for, and gamers won't get as much out of it as those using it for productivity. That said, gamers will probably get more gaming time out of the Xiaomi Pad 8 Pro than most other tablets.
In my mixed use, I easily got through a full work day with room to spare. After a good 8 hours or so, I still had a little over 30% of the battery remaining. Charging is handled by 67W HyperCharge over USB-C, which gets you to a full charge in about an hour and a half. The tablet also offers 22.5W reverse wired charging, so you can use the tablet as a power bank for your phone or earbuds in a pinch. There's no wireless charging, but I've never really felt the need to wirelessly charge my tablet anyway.
Tablet cameras are usually an afterthought, but Xiaomi has actually put some effort in here — whether you use it or not. The rear camera is a 50-megapixel sensor with an f/1.8 aperture and phase-detection autofocus, capable of 4K video at 60fps. The front-facing 32MP sensor at f/2.2 handles 1080p at 30fps and is genuinely good for video calls. It's also located in the proper spot — the top edge when you're holding the tablet horizontally.
In practice, both cameras punch above what you'd expect from a tablet, but they're still well below Xiaomi's best smartphone cameras. Detail preservation is solid, sharpness is good, and stabilization on the rear camera is better than you might expect it to be. For video conferencing, casual recording, document scanning, or grabbing a quick reference photo, this setup is more than enough.
As expected, there are plenty of camera-focused AI tools, though again, you may not use them all that much. They work fine. It's worth noting how much of an upgrade this is over the standard Pad 8, which makes do with a 13MP rear and 8MP front camera. If cameras matter to you at all on a tablet, then the Pro is the tablet to get. That said, you still shouldn't expect flagship smartphone camera quality. You won't get it here. The Xiaomi Pad 8 Pro's camera system is well below what you would get from modern high-end phones and is still best used for video calls rather than anything else.
The Pad 8 Pro ships with Xiaomi's HyperOS 3 running on Android 16, heavily tuned for tablets. HyperAI is woven through the system — speech recognition, generative writing tools, an AI calculator that recognizes handwritten math — that kind of thing. Most of it is just there if you want it, so you don't have to use it. I didn't all that much.
Workstation Mode is the most important productivity feature. You get split-screen at 5:5 or 1:9 ratios, floating windows that resize and reposition relatively easily, and a dock with quick access to frequently used apps. It works pretty well, though you will need to get used to some of the quirks.
There is some bloatware that comes pre-installed on the tablet, but it's not over the top. You'll get apps like WPS Office, TikTok, and Spotify, but companies should know the classic practice of installing the apps you want still works well. We don't need to change it. On the upside, Xiaomi is promising up to five years of major updates, which is competitive.
The Xiaomi Pad 8 Pro works with a slew of accessories, and I was able to test the device with many of them. My favorite is the Focus Keyboard, which, yes, is a Magic Keyboard copy. It's not as good as Apple's Magic Keyboard — the touchpad isn't as responsive, and the keys are a little less tactile. But it still works very well, and it's better than the vast majority of tablet keyboard accessories I've tried.
The Xiaomi Focus Pen Pro is a solid upgrade over previous Xiaomi styluses. It's buttonless, and it features gesture shortcuts triggered by squeezing or double-tapping, a haptic motor for tactile feedback, 16,384 pressure levels, and an internal gyroscope. Latency is low, and it feels decently natural. Like the Apple Pencil, it attaches magnetically to the top of the Xiaomi tablet, where it can charge wirelessly. Even though it's a copy of Apple's feature, I don't mind when brands copy a great feature.
The catch, of course, is that none of this comes in the box. Add the keyboard and pen, and you're looking at a much more expensive system — and one that costs more than a decent laptop like the MacBook Air. That doesn't make it pointless. A tablet and a laptop like the MacBook Air serve different purposes, even though modern tablets are arguably trying to replace cheaper laptops. It does mean that if you're looking for a productivity machine, it's worth weighing your options.
The Xiaomi Pad 8 Pro is an excellent Android tablet. It's powerful, well-designed, and has a huge battery life. That said, at €650, it's not the cheapest tablet around, and the competition is relatively fierce. If you're willing to live in Apple's ecosystem, one of those is an iPad Pro, and it's well worth considering an iPad given the better tablet operating system. If you're looking to stick with Android, the Xiaomi Pad 8 Pro is an excellent option.
There are plenty of trade-offs, though. LCD instead of OLED means weaker black levels and less vibrant colors, and not everyone will love the software. These aren't really dealbreakers for most, but they're worth knowing about.
The OnePlus Pad 3 is one of the most direct rivals. It has the same Snapdragon 8 Elite processor, a bigger 13.2-inch screen, and slightly bigger battery. If you want the bigger canvas, that's the one to get. The Samsung Galaxy Tab S11 has a better AMOLED display and an IP68 rating, but its battery life isn't in the same conversation as the Xiaomi. The Apple iPad Pro wins on ecosystem integration and software longevity, but if you're looking for an Android tablet, it's not for you. And the standard Xiaomi Pad 8 is the cheaper option within Xiaomi's own lineup — it has the same screen and battery, but a weaker chip and cameras.
Yes, if you're looking for a great-performing tablet and like Xiaomi's approach."
9,2026-05-17,"From ""Succession"" to ""Yellowstone,"" families with business empires are a rich source of drama and conflict with huge financial stakes.
Jennifer Harvey is the CEO of Crown Worldwide, a logistics company with more than 3,000 employees and operations in 45 countries. She's also the daughter of Crown's billionaire founder, Jim Thompson.
Harvey recently spoke to Business Insider about the rewards and challenges of taking over the family business, how she navigates her relationship with her father, and whether she wants her own children to continue the dynasty.
Thompson founded Crown in Japan in 1965 to support US military families relocating there. Read our interview with him here.
Harvey recalled her father's startup being a constant presence in her childhood.
""Crown was definitely part of the family,"" she said, adding that her parents would often take her to the office, and she knew the employees.
Harvey said the reality for many children whose parents are building a business is ""you have to share them with that all-consuming exercise.""
But she said her father did a ""really good job of making sure he knew what was going on in our lives, even if he was phoning us from abroad.""
Harvey moved from Japan to Hong Kong around age 10. After she graduated from high school, she relocated to New York to attend Columbia University, where she majored in East Asian Studies with an economics concentration, and learned Japanese.
Her first job after college was at an investment bank, but she found the culture of working all hours ""brutal"" and realized it wouldn't make her happy in the long run.
She remembered that before leaving for college, she'd had dinner with her father at a ""little tonkatsu restaurant."" Thompson had told her there's ""no pressure,"" but ""if you ever want to work for the company, we'd love to have you.""
Disillusioned by her banking gig, Harvey thought to herself: ""Maybe now is the time to give it a shot.""
She had ""mixed feelings"" about asking her dad for a job, so she told him to ""send me wherever you want,"" and he promptly dispatched her to Japan.
Some years later, she moved to Singapore, where she met her husband and had three children. They relocated to New York after he was offered a big promotion there, and have lived there ever since.
Harvey had been working at Crown for more than 30 years when the CEO who succeeded her father retired. She was chosen to be the company's next chief and took the role in August 2023.
Over the years, Crown has evolved from primarily relocating employees and military personnel, to becoming a specialized logistics business.
It now provides everything from information management and workspace fit-outs to healthcare logistics and fine art and wine storage.
Harvey said she's adapted to changing market needs while staying true to the values and culture that define her father's company.
She said that she wants to ""leverage what he did that worked,"" and doesn't ""want to break anything.""
Crown's industry has become more international and interconnected, so she's had to ""really promote an enterprise mindset"" and encourage her managers to ""think globally,"" she said. Otherwise, a strong performance in one country could be offset by a weak performance in another.
Harvey hailed Thompson's ability to spot unmet needs in the market that Crown could service, and said she wants to keep that ""entrepreneurial mindset.""
She gave the example of the sprawling property portfolio that her father assembled for Crown. It helps the company meet ""all sorts of storage needs"" across the world, and remains ""one of the most valuable"" parts of the business, she said.
Harvey also highlighted her father's ""magical way with employees.""
She learned from him the importance of ensuring workers feel seen and appreciated. On a trip to Crown's Dubai office last fall, the company's warehouse workers told her they remembered Thompson visiting more than a decade earlier. The fact that he took the time to meet and take pictures with them had a ""lasting impact,"" she said.
Harvey also discussed their contrasting management styles. While her dad was more likely to ""delegate a tough conversation,"" she's ""much more willing to lean right into it,"" she said, adding that neither approach is superior.
She focuses on doing the ""best job"" she can rather than judging herself against her father, she said, as that ""seems like a recipe for a nervous breakdown.""
""I try not to compare myself to him because he's such a special guy in our industry,"" she said. ""He's a legend.""
She likened her mindset to that of a marathon runner, who might just give up if they dwelled too much on the monumental task ahead of them. They're ""probably better off"" focusing on putting one foot in front of the other, she added.
Harvey praised Thompson for always being ""very, very supportive,"" and available when there's ""something hard that I really want to talk to him about.""
She said the ""hardest part"" of their relationship is separating the business from the personal. She actively works to draw a line, for example, by not talking shop during a weekend call.
""I try to balance it because him being my father is much more important to me than anything else,"" she said.
Harvey also mused on what makes her job meaningful and purposeful, joking that the thought process was a ""little bit millennial of me.""
""There's something about working for a business that he built that does give me this other dimension of reward,"" Harvey said. It feels like she's helping him and adding value to ""something he spent his lifetime building,"" she added.
Instead of working for some faceless corporation, ""I'm doing it for family, and that matters to me,"" she said.
Growing up with a founder as a father, Harvey witnessed firsthand how difficult it can be to juggle work and family.
""It may have had an impact on my decisions as a parent,"" she said. With her three children, she wanted to ""make sure they felt that their parents were giving them time — not because I didn't get that, but I think I was hyper aware of it.""
Harvey said she's followed her father's lead in not pressuring her children, now in their 20s, to join the family business.
""I really appreciated that there wasn't this expectation just put in front of me at a young age,"" she said.
Her children know the option is there, but she's encouraging them to pursue their own paths first, ""and then we'll see,"" she said.
Harvey said she doesn't mind whether they join Crown or not, as a family can maintain ties to a business without running it.
""It's not always the best answer just because they've got a certain surname,"" she said.
Jump to

      Every time  publishes a story, you’ll get an alert straight to your inbox!
    

      Look out for an alert in your inbox the next time  publishes a story!
    

      Every time a new  story is published, you’ll get an alert straight to your inbox!
    

      Look out for an alert in your inbox the next time a new  story is published!
    


        By clicking “Sign up”, you agree to receive emails from Business Insider. In addition, you accept Insider’s
        Terms of Service and
        Privacy Policy.
      "
